"time_millis","cpu"
1509009792670,13.64
1509009792671,10.35
1509009792672,18.62
1509009792673,17.39
1509009792674,12.78
1509009792675,10.11
1509009792676,13.4
1509009792677,15.3
1509009792678,16.64
1509009792679,14.19
1509009792680,19.53
1509009792681,16.75
1509009792682,12.84
1509009792683,18.58
1509009792684,17.08
1509009792685,11.43
1509009792686,15.89
1509009792687,13.62
1509009792688,14.61
1509009792689,16.05
1509009792690,11.05
1509009792691,15.89
1509009792692,10.41
1509009792693,16.56
1509009792694,13.82
1509009792695,17.17
1509009792696,8.57
1509009792697,20.21
1509009792698,15.92
1509009792699,18.64
1509009792700,13.55
1509009792701,15.29
1509009792702,13.84
1509009792703,14.17
1509009792704,20.07
1509009792705,15.42
1509009792706,13.01
1509009792707,14.58
1509009792708,16.95
1509009792709,17.21
1509009792710,14.4
1509009792711,16.88
1509009792712,11.84
1509009792713,16.61
1509009792714,13.11
1509009792715,11.66
1509009792716,12.01
1509009792717,11.95
1509009792718,15.71
1509009792719,17.35
1509009792720,13.39
1509009792721,16.71
1509009792722,16.31
1509009792723,16.63
1509009792724,17.16
1509009792725,16.12
1509009792726,19.98
1509009792727,14.6
1509009792728,12.94
1509009792729,14.65
1509009792730,15.41
1509009792731,10.8
1509009792732,12.83
1509009792733,12.88
1509009792734,12.45
1509009792735,14.16
1509009792736,18.95
1509009792737,15.75
1509009792738,18.43
1509009792739,15.25
1509009792740,20.96
1509009792741,13.13
1509009792742,13.22
1509009792743,11.23
1509009792744,9.05
1509009792745,19.81
1509009792746,22.06
1509009792747,14.69
1509009792748,23.59
1509009792749,17.25
1509009792750,21.94
1509009792751,12.33
1509009792752,12.6
1509009792753,15.47
1509009792754,13.02
1509009792755,13
1509009792756,13.19
1509009792757,13.57
1509009792758,15.77
1509009792759,16.46
1509009792760,17.29
1509009792761,9.76
1509009792762,15.1
1509009792763,13.73
1509009792764,16.65
1509009792765,17.85
1509009792766,14.34
1509009792767,10.63
1509009792768,17.64
1509009792769,15.94
1509009792770,13.3
1509009792771,13.89
1509009792772,12.43
1509009792773,16.75
1509009792774,18.58
1509009792775,12.44
1509009792776,18.94
1509009792777,13.1
1509009792778,11.12
1509009792779,15.64
1509009792780,14.05
1509009792781,14.94
1509009792782,12.93
1509009792783,12.47
1509009792784,16.64
1509009792785,12.93
1509009792786,18.91
1509009792787,14.69
1509009792788,14.05
1509009792789,16.91
1509009792790,18.3
1509009792791,16.17
1509009792792,18.86
1509009792793,17.53
1509009792794,17.88
1509009792795,16.49
1509009792796,14.96
1509009792797,10.5
1509009792798,14.62
1509009792799,13.4
1509009792800,11.55
1509009792801,20.84
1509009792802,18.02
1509009792803,17.41
1509009792804,13.3
1509009792805,21.18
1509009792806,13.27
1509009792807,15.59
1509009792808,11.48
1509009792809,12.54
1509009792810,18.24
1509009792811,19.29
1509009792812,13.09
1509009792813,12.34
1509009792814,20.95
1509009792815,14.82
1509009792816,18.8
1509009792817,14.36
1509009792818,19.11
1509009792819,15.85
1509009792820,14.62
1509009792821,14.71
1509009792822,16.39
1509009792823,19.2
1509009792824,14.74
1509009792825,16.94
1509009792826,16
1509009792827,10.57
1509009792828,9.87
1509009792829,11.47
1509009792830,11.66
1509009792831,16.02
1509009792832,13.06
1509009792833,10.87
1509009792834,10.54
1509009792835,19.33
1509009792836,12.2
1509009792837,18.82
1509009792838,17.15
1509009792839,13.81
1509009792840,11.27
1509009792841,13.6
1509009792842,15.77
1509009792843,10.83
1509009792844,17.5
1509009792845,21.59
1509009792846,15.21
1509009792847,16.33
1509009792848,18.9
1509009792849,13.67
1509009792850,14.73
1509009792851,16.52
1509009792852,14.26
1509009792853,12.54
1509009792854,13.32
1509009792855,18.7
1509009792856,11.65
1509009792857,15.52
1509009792858,13.86
1509009792859,17.99
1509009792860,16.44
1509009792861,14.97
1509009792862,15.21
1509009792863,12.7
1509009792864,16.56
1509009792865,13.85
1509009792866,15.72
1509009792867,15.09
1509009792868,13.39
1509009792869,10.23
1509009792870,18.01
